agent_id,Neighbors
8123728,"['8207453', '111439', '706877']"
670545,"['627085', '612538', '96761']"
528213,"['8207453', '111439', '706877']"
323928,"['8207453', '111439', '670545']"
8087899,"['8207453', '111439', '670545']"
645981,"['627085', '612538', '96761']"
526686,"['8207453', '111439', '670545']"
697183,"['8207453', '111439', '706877']"
705888,"['8207453', '111439', '670545']"
641889,"['8207453', '111439', '670545']"
691044,"['8207453', '627085', '612538']"
538469,"['8207453', '627085', '612538']"
556902,"['8207453', '627085', '111439']"
681317,"['8207453', '627085', '612538']"
8095076,"['8207453', '111439', '706877']"
545642,"['8207453', '627085', '111439']"
346986,"['8207453', '627085', '612538']"
520556,"['627085', '612538', '96761']"
540528,"['8207453', '111439', '706877']"
8238964,"['627085', '612538', '96761']"
8229749,"['8207453', '111439', '670545']"
508788,"['8207453', '111439', '706877']"
568697,"['8207453', '111439', '670545']"
625020,"['8207453', '111439', '670545']"
670076,"['8207453', '111439', '627085']"
629119,"['8207453', '627085', '111439']"
515456,"['8207453', '111439', '670545']"
544640,"['8207453', '111439', '627085']"
536455,"['8207453', '111439', '670545']"
567178,"['8207453', '111439', '670545']"
8168330,"['8207453', '111439', '670545']"
627085,"['8207453', '111439', '706877']"
643981,"['627085', '612538', '96761']"
513935,"['8207453', '111439', '706877']"
8216465,"['8207453', '111439', '670545']"
541586,"['627085', '612538', '8207453']"
128925,"['8207453', '111439', '706877']"
308128,"['8207453', '111439', '670545']"
646564,"['8207453', '111439', '627085']"
670629,"['8207453', '627085', '111439']"
126884,"['8207453', '111439', '706877']"
345511,"['8207453', '111439', '627085']"
8120228,"['8207453', '111439', '670545']"
8095660,"['8207453', '111439', '670545']"
96761,"['8207453', '111439', '670545']"
646061,"['8207453', '111439', '670545']"
8095151,"['8207453', '111439', '670545']"
145330,"['8207453', '111439', '706877']"
538547,"['8207453', '111439', '670545']"
525234,"['8207453', '111439', '706877']"
8204212,"['8207453', '111439', '670545']"
583608,"['8207453', '111439', '670545']"
641977,"['8207453', '111439', '670545']"
8141754,"['8207453', '111439', '670545']"
8084922,"['8207453', '111439', '706877']"
8229818,"['8207453', '627085', '612538']"
8218045,"['8207453', '111439', '670545']"
8144830,"['8207453', '627085', '612538']"
506307,"['8207453', '111439', '670545']"
564677,"['8207453', '111439', '706877']"
552902,"['8207453', '111439', '706877']"
8179143,"['8207453', '111439', '670545']"
8099783,"['8207453', '627085', '612538']"
8098250,"['8207453', '627085', '111439']"
145355,"['8207453', '111439', '706877']"
534990,"['8207453', '111439', '706877']"
8177615,"['8207453', '111439', '706877']"
8190417,"['8207453', '111439', '670545']"
707032,"['8207453', '111439', '670545']"
673755,"['8207453', '111439', '670545']"
8196061,"['8207453', '111439', '706877']"
665566,"['8207453', '111439', '670545']"
602591,"['8207453', '627085', '612538']"
8175069,"['627085', '612538', '96761']"
514022,"['8207453', '111439', '706877']"
322022,"['8207453', '627085', '111439']"
676329,"['8207453', '627085', '111439']"
632814,"['8207453', '111439', '706877']"
560622,"['8207453', '627085', '111439']"
573939,"['8207453', '111439', '670545']"
524277,"['8207453', '111439', '670545']"
8095225,"['8207453', '111439', '706877']"
610811,"['627085', '612538', '8207453']"
8206847,"['627085', '612538', '96761']"
